OBJECTID,IS_DRILL,STREET,REASON,TYPE,SOURCE,RoadClosureDate,RoadClosureEnd,INCIDENT_DATE,YEAR,RoadClosureHours,CommuteHours,TideDate,MinsUntilTide,FloodRisk,NearestHighLowTide,MaxTide,TideType,Closest6MinTideHeight,MoonPhase,MoonPhaseDesc,DailyPrecipitation_Downtown,DailyPrecipitationCat_Downtown,Fastest2minWindDir_Dwntwn,Fastest2minWindSpeed_Dwntwn,Fastest2minWindDirDesc_Dwntwn,FloodReason_6MIN,FloodReason_Day,EventName,Shape__Length
39,,DRAKE ST,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),334.01160309404
40,,FORT JOHNSON RD,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),202.119080007864
41,,OGIER ST,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),235.113498226216
42,,COLONIAL ST,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),263.544002417598
43,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),234.19226537321
44,,CALHOUN ST,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),291.132373461068
45,,MORRISON DR,FLOOD,CLOSED,Charleston PD,2015/10/02 05:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,48,None,1.652,7.659,Low,2.013,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,Non-High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),721.77071453348
46,,MORRISON DR,FLOOD,CLOSED,Charleston PD,2015/10/02 05:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,48,None,1.652,7.659,Low,2.013,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,Non-High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),415.4794817364
47,,AMERICA ST,FLOOD,CLOSED,Charleston PD,2015/10/02 05:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,48,None,1.652,7.659,Low,2.013,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,Non-High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),123.262523778168
48,,BROOKWOOD CIR,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),1067.64926933889
49,,BROAD ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),699.430946381819
50,,BEES FERRY RD,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),5410.12228613336
51,,I526 RAMP,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),671.757403449887
52,,FOLLY RD,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),130.109617457864
53,,SIMONS ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),308.987462369715
54,,SUMMERTREES BLVD,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),1046.30145479844
55,,BROAD ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),699.430946381819
56,,ISLAND ESTATES DR,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),1226.09331691628
57,,DUNWICK DR,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),1373.511840217
58,,ROMNEY ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),147.759822143615
59,,ISABELLA ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),147.952585737663
60,,ASHLEY RIVER RD,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),2578.80093029395
61,,RUTLEDGE AVE,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),109.089929434562
62,,GORDON ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),305.285007058657
63,,FORT JOHNSON RD,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),2195.84820268073
64,,BROWNSWOOD RD,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),159.492805863719
65,,SPRING ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),180.901209071724
66,,GRIMBALL RD EXT,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),894.091044487904
67,,CALHOUN ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),275.735644448583
68,,ASHLEY RIVER BRIDGE,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),1790.7237187655
69,,HASELL ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),513.851522972909
70,,I26 RAMP,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),457.795225644215
71,,BEAUFAIN ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),357.83427861491
72,,WINNERS CIR,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),2126.21389012325
73,,CALHOUN ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),238.19622866312
74,,TOWNE ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),390.144593399001
75,,SAINT THERESA DR,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),432.247450527847
76,,CANNON ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),135.127948448579
77,,SOUTHWICK DR,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),2238.69750406445
78,,PINCKNEY ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),216.80202492608
79,,SEACROFT RD,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),604.513613764973
80,,MAIN RD,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),3208.47830716955
81,,CALHOUN ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),244.744256741732
82,,BEAUFAIN ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),456.22190499828
83,,FORT JOHNSON RD,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),1121.36341725661
84,,MUELLER DR,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),463.770016216623
85,,BATTLE GROUND RD,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),684.457544713271
86,,I526 E,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),2949.63300984883
87,,BROWNSWOOD RD,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),161.846254023595
88,,BEES FERRY RD,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),5410.12228613336
89,,BOHICKET RD,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),236.593188203307
90,,CENTRAL PARK RD,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),1699.6308032201
91,,BROOKFIELD ST,FLOOD,CLOSED,Charleston PD,2015/10/03 00:00:00+00,,2015/10/03,2015,,Non-Commute,2015/10/03 00:36:00+00,36,None,6.881,8.141,High,6.75,0.67,Other Moon,9.25,">3""",100,32,E,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),276.792234162747
